id,text,created_at
1218322070586757123,#nlblizzard2020  vibing💀😳 https://t.co/oHsttkOOrj,Fri Jan 17 23:59:51 +0000 2020
1218322065796796421,Progression of the storm. #nlblizzard2020 https://t.co/qDOsGePicB,Fri Jan 17 23:59:50 +0000 2020
1218322060063145984,Snow band starting to pivot over the Avalon. Heavy snow to continue for a few more hours. Winds several more. #NLwx https://t.co/tHQVt6XLwL,Fri Jan 17 23:59:49 +0000 2020
1218322001426862085,#snowmaggedon2020,Fri Jan 17 23:59:35 +0000 2020
1218321977141878784,Anytime anyone speculated yesterday about the severity of the storm I said my headache was certain it was gonna be… https://t.co/4WZIulE2dC,Fri Jan 17 23:59:29 +0000 2020
1218321945047064577,@user_2281 Eddie... TWN forecast has the wind starting to ease slightly every hour after 9:00PM. Is that accurate? #nlblizzard2020 #NLWX,Fri Jan 17 23:59:21 +0000 2020
1218321932963192838,"These pictures from newfoundland are crazyy, I will never complain about ottawa winters again 😭 #nlblizzard2020",Fri Jan 17 23:59:18 +0000 2020
1218321896149786624,Visibility reduced in most ares of @user_2380 this hour. It’s good to see most motorists have stayed home. Town crews… https://t.co/bEzOHQSeXt,Fri Jan 17 23:59:10 +0000 2020
1218321883885703170,#Hiphops newest got us #Lit with his #dope flow and he's #GotDrip #BING 💯 @user_498 feelin @user_893 https://t.co/SdDgJenmwX,Fri Jan 17 23:59:07 +0000 2020
1218321865371983872,This is bonkers! Snow above the windows. 😮 #nlblizzard2020 https://t.co/nKwgOh4ArK,Fri Jan 17 23:59:02 +0000 2020
1218321848770887681,The snow drift out front is taller than my city-issued garbage bin now. There is no telling where the set of stairs… https://t.co/FhY7aOvRzc,Fri Jan 17 23:58:58 +0000 2020
1218321788175822849,#Newfoundland #StaySafe #snowmaggedon2020 https://t.co/JWQbBjqQjd,Fri Jan 17 23:58:44 +0000 2020
1218321735612882945,👏👏👏#Snowpocalypse2020 https://t.co/rxphXoTYk1,Fri Jan 17 23:58:31 +0000 2020
1218321699340529664,Satellite perspective of the Atlantic today. These double barrelled lows sure look cool. The one on the left is… https://t.co/HBy5jMSOKm,Fri Jan 17 23:58:23 +0000 2020
1218321680403173378,Two lines down in my backyard. One goes to my neighbour's house. Not sure if that's for NLPower or a cable company?… https://t.co/Ytc4SvustE,Fri Jan 17 23:58:18 +0000 2020
1218321656294379520,Winds seem to be increasing in Airport Heights or at least higher gusts #nlwx,Fri Jan 17 23:58:12 +0000 2020
